name,AngelList_website,tagline
Simility,https://angel.co/company/simility,
AxleHire,https://angel.co/company/axlehire,We offer high volume enterprise grade shipping solutions across the West Coast
Veritonic,https://angel.co/company/veritonic,The Sonic Truth
Homebot,https://angel.co/company/homebot,Consumer app for mortgage lenders and real estate agents to maximize client retention.
Gravitational,https://angel.co/company/gravitational-1,We make it easy to deploy and manage cloud-native applications anywhere
Printify,https://angel.co/company/printify,Print On Demand Marketplace for E-commerce 
Simpo,https://angel.co/company/simpoio,The Predictive Software Engagement Platform
User Interviews,https://angel.co/company/userinterviews,User research automation platform for product & design teams
ZenBusiness,https://angel.co/company/zenbusiness,The only 100% free incorporation service online. 
Whiskey Media,https://angel.co/company/whiskey-media,
Glassbox,https://angel.co/company/glassbox,
Dapps Fund I,https://angel.co/company/dapps-fund-i,Funding Bitcoin Type Decentralized Applications & Protocols
Vault,https://angel.co/company/vaultbenefit,Attract top talent with a workplace benefit that helps employees crush their debt.
First Choice Pet Care,https://angel.co/company/first-choice-pet-care,
ARTA Shipping,https://angel.co/company/arta-shipping,"Streamlining high-end, specialized logistics"
Pledgeling,https://angel.co/company/pledgeling,Pledgeling is the easiest place to donate to charity on the web. 
Projector,https://angel.co/company/projector,Increasing signal by reducing noise.
LifeFuels,https://angel.co/company/lifefuels,"Personalized beverages, wherever life takes you."
Nixie Labs,https://angel.co/company/nixie-labs,Capture unmissable moments without interruption
Aira,https://angel.co/company/aira,Visual Interpreter
Mercato,https://angel.co/company/mercato,Online Marketplace for Independent Grocery Stores
Jiobit,https://angel.co/company/jiobit,The smallest self-learning location technology
Lexumo,https://angel.co/company/lexumo,Eliminate Vulnerabilities
Fuzzy Pet Health,https://angel.co/company/fuzzy,Changing veterinary care through tech and consumer centricity
Spotted,https://angel.co/company/spotted-media-1,Spotted houses the world’s most robust data set on celebrities.
Canvass Analytics,https://angel.co/company/canvassanalytics,Bringing Industrial Data to Life
Pico,https://angel.co/company/piconetworks,The Audience CRM
Joy,https://angel.co/company/withjoy,Everything about your wedding in one place
FundThrough,https://angel.co/company/fundthrough-1,Small business working capital online
Arachnys,https://angel.co/company/arachnys,Intelligent Risk & Compliance Technology
Instabridge,https://angel.co/company/instabridge,Crowdsourced free wifi
dopay,https://angel.co/company/dopay,Building the worlds best banking experience in developing countries 
Accern,https://angel.co/company/accerncorp,Data Design for Enterprise Efficiency
CliniCloud,https://angel.co/company/clinicloud,Software and devices for home healthcare
Hatchbuck,https://angel.co/company/hatchbuck,
CircleLink Health,https://angel.co/company/circlelink-health,Improving Health and Dr. Revenue with Best-in-Class Tele-nursing Platform
SmartAngels.fr,https://angel.co/company/smartangels,Capital marketplace for non-listed companies
SkyWatch,https://angel.co/company/skywatch,Delivering Intelligence from Space
RevAPM,https://angel.co/company/revapm,We Help Your App Work Smarter
i.me,https://angel.co/company/i-me-2,The next generation credit bureau
Core,https://angel.co/company/hellocore,Meditation you can feel.
Prisma,https://angel.co/company/prisma-io,The data layer for modern applications
Confirm.io,https://angel.co/company/confirm-io-1,ID verification service for mobile
Home,https://angel.co/company/homeht,Better housing for everyone.
Doxel,https://angel.co/company/doxel,Artificial Intelligence for Construction Productivity in a $10 Trillion Industry
LumaTax,https://angel.co/company/lumatax,Making tax returns touch-free
Unearth,https://angel.co/company/unearth,Place-Based Data Management Platform for the Construction Industry
Rec Room,https://angel.co/company/against-gravity,Rec Room is a virtual social club where you create and play games with friends.
Shift,https://angel.co/company/shiftorg,Powering transformational work experiences leading to jobs veterans love
FoundValue,https://angel.co/company/foundvalue,"Source for flexible jobs, business opportunities and franchises"
A.,https://angel.co/company/aevy,
InList,https://angel.co/company/inlist,InList is the top mobile app for booking nightlife & special events globally
Health Wildcatters,https://angel.co/company/health-wildcatters,
DAVO Technologies,https://angel.co/company/davo-technologies,DAVO does for sales tax what ADP and Paychex did for payroll 
UnaliWear,https://angel.co/company/unaliwear,"Wearable ""OnStar for People"""
Wexus Technologies,https://angel.co/company/wexus-technologies,Empowering Farmers with IoT for Energy & Water
Liquid Grids,https://angel.co/company/liquid-grids,
YOYO Holdings,https://angel.co/company/yoyo-holdings,
Poncho,https://angel.co/company/poncho-is,The most popular chatbot
GoCo,https://angel.co/company/goco,"Helping businesses create happy, efficient, and well-informed employees."
Nexeon MedSystems,https://angel.co/company/nexeon-medsystems,
ResoluteAI,https://angel.co/company/resoluteai,"Making information retrieval seamless, helping you to innovate smarter."
Olono,https://angel.co/company/olono,Real-Time Guided Selling for B2B Sales
Paysa,https://angel.co/company/paysa-2,
Merit,https://angel.co/company/sigma-certified,Merit is the online platform for digital certifications for real-world achievements
Bee,https://angel.co/company/bee-4,
Raised Real,https://angel.co/company/raisedreal,Real food for tiny humans.
Lively,https://angel.co/company/lively-5,
Apprente,https://angel.co/company/apprente,Neuroscience-inspired AI for enterprise solutions
ModoPayments,https://angel.co/company/modopayments,
Armut,https://angel.co/company/armut,Leading next generation local services marketplace of Turkey
OPEL Technologies,https://angel.co/company/opel-technologies,
FlipGive,https://angel.co/company/flipgive,Crowdfunding through product sales
Cinematique,https://angel.co/company/cinematique,
bttn,https://angel.co/company/bttn,The Simplest Internet User Interface In the World
Wisegate,https://angel.co/company/wisegate-1,
Percolata,https://angel.co/company/percolata_com,Optimizing Retail Sales Teams
Eversound,https://angel.co/company/eversoundhq,Helping older adults live life at full volume
Chalk Talk Solutions,https://angel.co/company/chalk-talk-solutions-1,Helps every teacher ‘teach amazing’ and dramatically improves student learning outcomes
GameSportsNetwork,https://angel.co/company/gamesportsnetwork-1,Daily Fantasy Sports Gaming Platform
Scoutible,https://angel.co/company/scoutible,Mobile Game-Based AI for Hiring
Gooroo,https://angel.co/company/gooroo,A Next-generation AI-powered Tutoring and Learning Platform
Agentology,https://angel.co/company/agentology,Real Estate Success on Autopilot
Oak Labs,https://angel.co/company/oak-labs,Future retail experience
Remedy Plan,https://angel.co/company/remedyplan,Remedy Plan is developing the first drugs that halt tumor growth and disrupt metastasis 
Vestly,https://angel.co/company/vestly,Stock investing game
HomeShare,https://angel.co/company/homeshare-1,Thrive Together
LYNK Global,https://angel.co/company/lynk-global-1,LYNK is  redefining how networking is done in an age of hyper-connectivity
Lambda School,https://angel.co/company/lambda-school,A revolutionary new school that invests in you
Zavee,https://angel.co/company/zavee,"Local merchant-funded rewards and loyalty. No cards or coupons. Simple, local, social."
CurbStand,https://angel.co/company/curbstand,Cashless Valet
Sophia Search,https://angel.co/company/sophia-search,
Waverly Labs,https://angel.co/company/waverlylabs,Producing the World's First Earpiece Translator
Syncano,https://angel.co/company/syncano,A serverless application platform to build powerful realtime apps more efficiently. 
HYPR,https://angel.co/company/hyprbrands1,Social Influencer Market Place For Niche Influencers 
Judo Payments,https://angel.co/company/judo-payments-1,Sell more. Risk less.
Moonlighting,https://angel.co/company/moonlighting-1,Mobile commerce platform
Uepaa,https://angel.co/company/uepaa-ag,the p2p future is now
ENDALGO,https://angel.co/company/endalgo,Redefining the future of team sports
playthe.net,https://angel.co/company/playthe-net-1,Google AdsSense out of home
Assurance Capital Management,https://angel.co/company/assurance-capital-management,Currently a $20mm Hedge Fund with +138% Performance Looking for $5mm More
Designer Pages Online,https://angel.co/company/designer-pages-online-1,Business Intelligence Platform for Commercial Construction. Think Bloomberg Financial.
"Vested Finance, Inc.",https://angel.co/company/schoold,
Plume Labs,https://angel.co/company/plume-labs,"Clean air, together."
Collage,https://angel.co/company/collage-hr,"Take care of your people with beautiful, automated HR and benefits."
Video.io,https://angel.co/company/videoio,Platform for mobile video apps
HOMMA,https://angel.co/company/homma,We are an AI based software and service company for connected homes.
Ignitia Office,https://angel.co/company/ignitia-office,Coworking in Brooklyn
WhiteHat,https://angel.co/company/whitehat,Helping young non-graduates start their careers
IQLECT,https://angel.co/company/iqlect,Real-Time Data Anaysis
Newtopia,https://angel.co/company/newtopia,Inspiring individuals to live healthier everyday
Snupps,https://angel.co/company/snupps,"Easiest way to organize, discover and share the stuff you own and love"
Fauna,https://angel.co/company/fauna,Serverless Cloud Database
Selz,https://angel.co/company/selz,Seriously simple selling
Third Space Learning,https://angel.co/company/third-space-learning,Transforming education technology!
Remerge,https://angel.co/company/remerge,App Audience Management meets Retargeting
Autonomous Tractor,https://angel.co/company/autonomous-tractor,Tesla for Tractors
Orbitera,https://angel.co/company/orbitera,Cloud Channel Management SaaS 
NarrativeWave,https://angel.co/company/narrativewave,Self-service analytics for the Industrial Internet of Things
DigitalVision Systems,https://angel.co/company/digitalvision-systems,Don't let anything come between you and your vision
LoanHero,https://angel.co/company/loanhero,Disrupting Retail Finance at the Point of Sale
Incode Technologies,https://angel.co/company/incode-technologies,Make the Internet Personal
Classting,https://angel.co/company/classting-1,Our Class Connection
OnceThere,https://angel.co/company/oncethere,
Wicket Labs,https://angel.co/company/wicket-labs,Building an audience insights platform enabling data-driven decisions & increasing LTV.
Eliq,https://angel.co/company/eliq,Utility customer engagement through energy insights
Eden Health,https://angel.co/company/eden-health-1,Every healthcare and insurance question answered
Torii,https://angel.co/company/toriihq,SaaS management for the modern IT
Zehitomo,https://angel.co/company/zehitomo,Zehitomo is an online platform that empowers users to hire local service professionals.
E & E Capital Management,https://angel.co/company/e-e-capital-management,Personalized Real Estate investing and property managing
Isentio,https://angel.co/company/isentio,Pathogen Identification as a Service
ZoneTV,https://angel.co/company/zonetv,
Purple,https://angel.co/company/purpleai,Social Guest WiFi and Analytics
Care Connectors,https://angel.co/company/careconnectors,Data and resource liquidity for Healthcare
Wealth Migrate,https://angel.co/company/wealth-migrate,Global Real Estate Marketplace
Vandalia Research,https://angel.co/company/vandalia-research,
Falafel Games,https://angel.co/company/falafel-games-1,Leading MMO Games developer and publisher for the Middle East and beyond
DocbookMD,https://angel.co/company/docbookmd-1,Improving patient care through enhanced and secure medical collaboration.
Aula,https://angel.co/company/aulaeducation,Aula is a social learning platform for education. Think of it as a digital campus.
Moneybox,https://angel.co/company/moneyboxapp,Helping a generation invest in their future.
Hotelchamp,https://angel.co/company/hotelchamp,Hotelchamp is the leading marketing platform for hotels to boost direct bookings.
iStaging,https://angel.co/company/istaging,
Zeguro,https://angel.co/company/zeguro,A Virtual CISO for SMBs to simplify cyber security and cyber insurance
MedCircle,https://angel.co/company/medcircle,Mental health education through original video content from experts.
Pubgame,https://angel.co/company/pubgame,
Sol-Lux Alpha,https://angel.co/company/sol-lux-alpha,
Herb,https://angel.co/company/herb-2,The source for everything cannabis
Contactis Group,https://angel.co/company/contactis-group,Connected customers & machines - naturally
Blast,https://angel.co/company/blast-11,Blast brings the future to you by giving your gaming the power to earn
Pricelizer,https://angel.co/company/pricelizer,Automatic price monitoring and alert tool
Cashplay,https://angel.co/company/cashplay-1,"Transforms games into multi-player, real-money eSports competitions"
Vidbox Mexico,https://angel.co/company/vidbox-mexico,Replicating the success of Redbox in Mexico!
Navigating Cancer,https://angel.co/company/navigating-cancer,
vLex,https://angel.co/company/vlex,
Tracelytics,https://angel.co/company/tracelytics,Web application performance management
Balanced,https://angel.co/company/balanced,Payments for Marketplaces & Crowdfunding
SyncOnSet Technologies,https://angel.co/company/synconset,Emmy-winning Software for TV & Film Production Management
Tinybop,https://angel.co/company/tinybop,Toys for tomorrow
Enuma,https://angel.co/company/enuma,Make math accessible to all kids.
Zeal,https://angel.co/company/zeal,Crushing the price of math tutoring in schools and homes.
Sourceeasy,https://angel.co/company/sourceeasy,Not in Operations as of 1/15/2018.
Cobalt,https://angel.co/company/cobalt-io,Modern Intelligent Application Security
Atterley Road,https://angel.co/company/atterley-road,The fashion destination for women 30+ years of age (the adult ASOS) 
Instamotor,https://angel.co/company/instamotor,The most trusted mobile P2P car marketplace.
Conversion Logic,https://angel.co/company/conversion-logic,Conversion Logic is an advanced attribution SaaS platform. 
Tapstack,https://angel.co/company/tapstack,Tapstack helps you feel closer to those who matter most
Seed,https://angel.co/company/seed-8,Online Business Banking
uMake,https://angel.co/company/umake,set your ideas free
Plate IQ,https://angel.co/company/plateiq,Redefining restaurant operations (YC S15)
Hi.Q,https://angel.co/company/hi-q,
Service,https://angel.co/company/getservice,Compensation if your flight is delayed or cancelled.
Ledger Investing,https://angel.co/company/ledger-investing,Marketplace for Insurance Securities (Y Combinator W17)
Mydeco,https://angel.co/company/mydeco,
Vionic,https://angel.co/company/vionic,Social Media Deals Platform
Sense Chat (Sensay),https://angel.co/company/sensay,Blockchain Powered Messaging Platform
Ometria,https://angel.co/company/ometria,Customer Insight and Marketing Automation for Retail
Chaldal.com,https://angel.co/company/chaldal,The Alibaba of Bangladesh
Patch,https://angel.co/company/getpatch,Making it simple for patients to access their benefits and pay for healthcare services
Tripleshot,https://angel.co/company/tripleshot,The alternative to public stock markets
Breakthrough Behavioral,https://angel.co/company/breakthrough-behavioral,
Riffyn,https://angel.co/company/riffyn,Process design & analysis software for reproducible research
Brickwork,https://angel.co/company/brickwork,Powering Digital to Store Customer Journeys
Percolata,https://angel.co/company/percolata,Sense-able Retail Staffing
Alphadraft,https://angel.co/company/alphadraft-1,Daily Fantasy meets eSports
ZENGAMING,https://angel.co/company/zengaming,Professional network for gamers (NFX batch #1)
Kepler Communications,https://angel.co/company/kepler-communications,On-orbit telecommunications 
Prodigy,https://angel.co/company/prodigy,The future of automotive retail.
Finrise (Acquired by Wag!),https://angel.co/company/finrise,Simplifying the way patients pay for out-of-pocket healthcare services.
Iron Ox,https://angel.co/company/iron-ox,Iron Ox is building robotic greenhouses to make fresh produce accessible to everyone!
Loom.ai,https://angel.co/company/loomai,"Personalized expressive 3D avatars from photographs for chat, mobile AR, VR, e-commerce"
Blissfully,https://angel.co/company/blissfully,"Blissfully automates SaaS tracking, savings, and security."
Hugging Face,https://angel.co/company/hugging-face,The social artificial intelligence
Payoff.com,https://angel.co/company/payoff-com,
StillSecure,https://angel.co/company/stillsecure,
Glassbox,https://angel.co/company/glassbox,
LongTail Video,https://angel.co/company/longtail-video,
RingDNA,https://angel.co/company/ringdna,RingDNA is an enterprise sales acceleration engine and voice communications platform.
Fit3D,https://angel.co/company/fit3d,"Using 3D scanners, resulting data, and predictive AI solutions to solve massive problems"
Flywheel,https://angel.co/company/flywheel-2,Premium WordPress management & hosting for designers
ShotTracker,https://angel.co/company/shottracker,Nike+ for Basketball Shooting
Dapps Fund I,https://angel.co/company/dapps-fund-i,Funding Bitcoin Type Decentralized Applications & Protocols
Nugit,https://angel.co/company/nugit,From Data to Decisions
Vitagene,https://angel.co/company/vitagene,Smart supplements designed for YOU
codeSpark,https://angel.co/company/codespark,Games that teach the ABC's of Computer Science
Klue,https://angel.co/company/klue,Market and Competitive Intelligence (AI powered + VC Backed)
Noteworth,https://angel.co/company/noteworth,Harmonizing healthcare delivery
LifeFuels,https://angel.co/company/lifefuels,"Personalized beverages, wherever life takes you."
Nixie Labs,https://angel.co/company/nixie-labs,Capture unmissable moments without interruption
Parasail,https://angel.co/company/parasail-health-1,Meet Parasail. The straightforward and stress free way to manage your medical expenses. 
Canvass Analytics,https://angel.co/company/canvassanalytics,Bringing Industrial Data to Life
User Interviews,https://angel.co/company/userinterviews,User research automation platform for product & design teams
Rubica,https://angel.co/company/rubica,
Juice In The City,https://angel.co/company/juice-in-the-city,
Yoox Group,https://angel.co/company/yoox-group,
Arachnys,https://angel.co/company/arachnys,Intelligent Risk & Compliance Technology
EpiEP,https://angel.co/company/epiep,
Muzzley,https://angel.co/company/muzzley,"Muzzley is a SaaS for Smart Home focused on fast, but specialized, go-to-market."
Tapatalk,https://angel.co/company/tapatalk-1,We make sharing passion super easy
CliniCloud,https://angel.co/company/clinicloud,Software and devices for home healthcare
French Girls,https://angel.co/company/frenchgirls,Silicon Valley's cool uncle who drives a Camaro.
CircleLink Health,https://angel.co/company/circlelink-health,Improving Health and Dr. Revenue with Best-in-Class Tele-nursing Platform
Bloomlife,https://angel.co/company/bloom-technologies,Medical grade wearables to reassure moms and earlier predict pregnancy complications
Flyp,https://angel.co/company/flyp,Get multiple numbers on your smartphone
Sift Security,https://angel.co/company/sift-security-1,Threat Hunting & Incident Response Platform
Alpaca,https://angel.co/company/alpaca,API-first brokerage for high volume stock trading
LendingFront,https://angel.co/company/lendingfront,Small business lending made simple
Sweatcoin,https://angel.co/company/sweatcoin,
Tapcart,https://angel.co/company/tapcart,Revolutionizing mobile ecommerce for brands
Prosofty Enterprise,https://angel.co/company/prosofty-enterprise,A unique all-in-one business Solution
Byte Foods,https://angel.co/company/byte-foods,
LumaTax,https://angel.co/company/lumatax,Making tax returns touch-free
Rec Room,https://angel.co/company/against-gravity,Rec Room is a virtual social club where you create and play games with friends.
OPEL Technologies,https://angel.co/company/opel-technologies,
Excelion Technology,https://angel.co/company/excelion-technology,Real-Time Hospital Measurement System
Empower Micro,https://angel.co/company/empower-micro,Superior & smart embedded micro power inversion
BlueChilli,https://angel.co/company/bluechilli,"Partners with entrepreneurs, investors and corporates to create great tech startups"
nousDECOR,https://angel.co/company/nousdecor,Social curation & commerce for decor
Storia,https://angel.co/company/storia,"Creating better stories together. Discover, create, share."
Element3 Health,https://angel.co/company/element3health,"An engagement platform that keeps 50+ seniors socially, mentally and physically active"
Crate.io,https://angel.co/company/crate-io,Put Machine Data To Work.
Percolata,https://angel.co/company/percolata_com,Optimizing Retail Sales Teams
YOYO Holdings,https://angel.co/company/yoyo-holdings,
AlayaCare,https://angel.co/company/alayacare,Software and hardware platform for home healthcare agencies
Eversound,https://angel.co/company/eversoundhq,Helping older adults live life at full volume
ATOMIZED,https://angel.co/company/atomized,Marketing Visualization & Collaboration Platform
UpTop,https://angel.co/company/uptop_,"NextGen PropTech, End-to-End Rental Platform"
Omadi,https://angel.co/company/omadi,
Scoutible,https://angel.co/company/scoutible,Mobile Game-Based AI for Hiring
Raised Real,https://angel.co/company/raisedreal,Real food for tiny humans.
VirZOOM,https://angel.co/company/virzoom-2,"""A workout without the work.” "
Echo Laboratories,https://angel.co/company/echo-laboratories-1,Revolutionizing the way the world views science
WeRecover,https://angel.co/company/werecover,WeRecover is a transparent search engine for addiction recovery resources.
Zavee,https://angel.co/company/zavee,"Local merchant-funded rewards and loyalty. No cards or coupons. Simple, local, social."
Jobs2web,https://angel.co/company/jobs2web,
Golazo Soccer,https://angel.co/company/golazo-soccer,Southern U.S.' Largest Soccer Infrastructure Project
Waverly Labs,https://angel.co/company/waverlylabs,Producing the World's First Earpiece Translator
Cocoon,https://angel.co/company/cocoon-1,"Cocoon Search Engine; Security, Anti-Virus, VPN Alternative, Privacy "
WAY,https://angel.co/company/way-com,Way.com - What's Around You
HYPR,https://angel.co/company/hyprbrands1,Social Influencer Market Place For Niche Influencers 
17hats,https://angel.co/company/17hats,The simple business management app for businesses of one
Signalsense,https://angel.co/company/signalsense,
Judo Payments,https://angel.co/company/judo-payments-1,Sell more. Risk less.
AdMobilize,https://angel.co/company/admobilize-1,Machine intelligence creation platform.
KEEGA Ventures,https://angel.co/company/keega-ventures,
Spare,https://angel.co/company/sparelabs,Platform for powering public transportation
Freetrade,https://angel.co/company/freetrade,Free investing
Collage,https://angel.co/company/collage-hr,"Take care of your people with beautiful, automated HR and benefits."
Eastwind Networks,https://angel.co/company/eastwind-networks,
Novo,https://angel.co/company/banknovo,Business Banking That Doesn't Suck.
CarDash,https://angel.co/company/cardash,Making Car Ownership Simple and Affordable
Ignitia Office,https://angel.co/company/ignitia-office,Coworking in Brooklyn
Miro Health,https://angel.co/company/miro-3,The authority on brain health
AntVoice,https://angel.co/company/antvoice,
YellowHammer,https://angel.co/company/yellowhammer,
ReadyTrace,https://angel.co/company/readytrace,
CHSI Technologies,https://angel.co/company/chsi-technologies-2,Leveling the Playing Field Between David and Goliath
Newtopia,https://angel.co/company/newtopia,Inspiring individuals to live healthier everyday
Snupps,https://angel.co/company/snupps,"Easiest way to organize, discover and share the stuff you own and love"
PCC Technology Group,https://angel.co/company/pcc-technology-group,
Purple,https://angel.co/company/purpleai,Social Guest WiFi and Analytics
Third Space Learning,https://angel.co/company/third-space-learning,Transforming education technology!
Spreemo Health,https://angel.co/company/spreemohealth,Combining machine learning and clinical research to improve patient care and outcomes
GIROPTIC,https://angel.co/company/giroptic,World's first true 360 HD camera
Midaxo,https://angel.co/company/midaxo,All-in-One M&A Software
Incode Technologies,https://angel.co/company/incode-technologies,Make the Internet Personal
miiiCasa,https://angel.co/company/miiicasa,"IOT Cloud PaaS (PubNub, Ayla, Electric Imp, Arrayent)"
TaCerto,https://angel.co/company/tacerto,Brazil’s one-stop-shop for insurance and financial products
LinkBee,https://angel.co/company/linkbee,Smart Home. In a whole new light...
VideoPlusPlus(videopls.com),https://angel.co/company/videoplusplus,Make Video Smart
HaptX,https://angel.co/company/haptx,Virtual reality has never felt this real.
Feldan Therapeutics,https://angel.co/company/feldan-therapeutics,"Development of therapeutics based on the Feldan Shuttle, a peptide-based delivery platform"
Torii,https://angel.co/company/toriihq,SaaS management for the modern IT
Cashplay,https://angel.co/company/cashplay-1,"Transforms games into multi-player, real-money eSports competitions"
BEATGASM,https://angel.co/company/beatgasm,Support and promote underground music artisanship
iStaging,https://angel.co/company/istaging,
Zeguro,https://angel.co/company/zeguro,A Virtual CISO for SMBs to simplify cyber security and cyber insurance
Pubgame,https://angel.co/company/pubgame,
Blast,https://angel.co/company/blast-11,Blast brings the future to you by giving your gaming the power to earn
Portion,https://angel.co/company/portion,Transparent Blockchain Auction House
Augmate,https://angel.co/company/augmate,IoT and Wearable Device Management for Enterprise
DrChrono,https://angel.co/company/drchrono,On a mission to create the medical practice of the future.
CareDox,https://angel.co/company/caredox,Care coordination platform for parents and schools
EyeNetra,https://angel.co/company/eyenetra,Smartphone-powered Refraction
OSIX Co.,https://angel.co/company/osix-co,Brand Activation Platform
Apptopia,https://angel.co/company/apptopia,Quantcast for Apps. Accurate market intelligence on the global app ecosystem.
Lore,https://angel.co/company/lore-1,Reinventing education for the internet age. 
Labdoor,https://angel.co/company/labdoor,The scientific way to shop.
Tinybop,https://angel.co/company/tinybop,Toys for tomorrow
Cobalt,https://angel.co/company/cobalt-io,Modern Intelligent Application Security
Atterley Road,https://angel.co/company/atterley-road,The fashion destination for women 30+ years of age (the adult ASOS) 
Spry Health,https://angel.co/company/spryhealth,Predicting the progression of disease & clinical risk of people with chronic illnesses
Sense Chat (Sensay),https://angel.co/company/sensay,Blockchain Powered Messaging Platform
Omniata,https://angel.co/company/omniata,"The Unified Data, Analytics, & User Engagement Platform"
CloudMedx,https://angel.co/company/cloudmedx,Improving clinical encounters and outcomes through predictive analytics
Wevorce,https://angel.co/company/wevorce,Changing Divorce For Good
Voodoo Manufacturing,https://angel.co/company/voodoo-manufacturing,AWS for Manufacturing
Boom.tv,https://angel.co/company/boomtv,Boom is an eSports platform for casual live gaming
Winnie,https://angel.co/company/winnielabs,"Discover the best preschools, daycares & more."
Chowbotics,https://angel.co/company/chowbotics,Robots for food service
Phanfare,https://angel.co/company/phanfare,
Geewa,https://angel.co/company/geewa,Competitive realtime multiplayer games playable across platforms.
Edgeio,https://angel.co/company/edgeio,
Civil Maps,https://angel.co/company/civil-maps,"3D HD Maps, Routing and Localization"
NodePrime,https://angel.co/company/nodeprime,Democratizing Hyperscale Infrastructure
Pristine,https://angel.co/company/pristine-1,Inspectors and claims professionals lose 1/3 of their time to travel. We cut that in half.
ArabiaWeather,https://angel.co/company/arabiaweather,weather.com for Arab World in Arabic
Minibar Delivery,https://angel.co/company/minibar,Alcohol Marketplace
Insurify,https://angel.co/company/insurify,The fastest way to shop for car insurance. Browse - Compare - Discover
WorldShop,https://angel.co/company/worldshop,Fair Prices. Free Shipping. World Changing.
Skydrop,https://angel.co/company/skydrop,Shipping software for businesses in Latin America.
Tuul,https://angel.co/company/tuul,Mobile 1st support automation service transforming consumer to business interactions
MegaBots,https://angel.co/company/megabots-inc,Giant Fighting Robot League -- A Sports-Entertainment Franchise
Mark One,https://angel.co/company/mark-one-2,Automatically Track Everything You Consume
Lynq,https://angel.co/company/lynq,"Locate those that matter most without relying on phones, networks or any infrastructure. "
Dojo Madness,https://angel.co/company/dojo-madness,Owning the narrative of gaming and esports data
Codec,https://angel.co/company/codec,Artificial intelligence for Content Marketing
Deako,https://angel.co/company/deako,Whole home smart lighting
Klook,https://angel.co/company/klook,
Dashbot,https://angel.co/company/dashbot-io,Actionable Conversational Analytics
Juice In The City,https://angel.co/company/juice-in-the-city,
FableLabs,https://angel.co/company/fablelabs,Platform for creating interactive fiction
doo,https://angel.co/company/doo,
Empower Micro,https://angel.co/company/empower-micro,Superior & smart embedded micro power inversion
Ellevation,https://angel.co/company/ellevation,
Q-Sensei,https://angel.co/company/q-sensei,Build Powerful Data Apps
Luxury Garage Sale,https://angel.co/company/luxury-garage-sale,
Fresh Nation,https://angel.co/company/fresh-nation,National delivery of fresh local food from farmers markets to customers' homes
Crate.io,https://angel.co/company/crate-io,Put Machine Data To Work.
JustPark,https://angel.co/company/justpark,The Parking App - making parking easy for everyone.
Bloomlife,https://angel.co/company/bloom-technologies,Medical grade wearables to reassure moms and earlier predict pregnancy complications
Nebulous,https://angel.co/company/nebulous,Building uncompromising blockchain infrastructure for the Decentralized Internet.
Spiro.ai,https://angel.co/company/spiro-technologies,"Work Smarter, Close Faster. "
Stringify,https://angel.co/company/stringify,
Miles,https://angel.co/company/getmilesapp,The app that rewards all your commute & travel
Cirrus Data Solutions,https://angel.co/company/cirrus-data-solutions,
Vivid Robotics (formerly Otto Robotics),https://angel.co/company/otto-pizza,"Food, Automated."
Glow Insurance,https://angel.co/company/glowinsurance,We’re transforming insurance to better protect people.
ConnectNPay,https://angel.co/company/connectnpay,Building financial infrastructure in Myanmar
Visor,https://angel.co/company/myvisor,Taxes Made Simple
Mappedin,https://angel.co/company/mappedin,The guide to what’s inside
Holler,https://angel.co/company/holler_io,Enrich conversations
UGE (Urban Green Energy),https://angel.co/company/uge-urban-green-energy,"Distributed energy solutions at the nexus of energy security, low cost, and sustainability"
Excelion Technology,https://angel.co/company/excelion-technology,Real-Time Hospital Measurement System
CHSI Technologies,https://angel.co/company/chsi-technologies-2,Leveling the Playing Field Between David and Goliath
LANDBAY,https://angel.co/company/landbay-secured-p2p-lending,The full-stack mortgage lender
Golazo Soccer,https://angel.co/company/golazo-soccer,Southern U.S.' Largest Soccer Infrastructure Project
Metamason,https://angel.co/company/metamason,Truly Personalized Respiratory Devices via 3D Scanning & Printing
Seeqpod,https://angel.co/company/seeqpod,
Bubble,https://angel.co/company/bubble-hq,Program without writing code
Spreemo Health,https://angel.co/company/spreemohealth,Combining machine learning and clinical research to improve patient care and outcomes
Dubuc Motors,https://angel.co/company/dubuc-motors,Low-volume EV manufacturer of opulent machines for the upscale consumer
Spruce,https://angel.co/company/spruceapp,Hotel-inspired services for apartment residents
miiiCasa,https://angel.co/company/miiicasa,"IOT Cloud PaaS (PubNub, Ayla, Electric Imp, Arrayent)"
Spare,https://angel.co/company/sparelabs,Platform for powering public transportation
ShopCo Technologies,https://angel.co/company/shopco-technologies,Eliminating registrations and checkouts for ever
Serial Box,https://angel.co/company/serial-box,"""HBO for reading"" --NPR   "
Novo,https://angel.co/company/banknovo,Business Banking That Doesn't Suck.
FirstBlood,https://angel.co/company/firstblood,
Feldan Therapeutics,https://angel.co/company/feldan-therapeutics,"Development of therapeutics based on the Feldan Shuttle, a peptide-based delivery platform"
LinkBee,https://angel.co/company/linkbee,Smart Home. In a whole new light...
AdviNow Medical,https://angel.co/company/advinow,"Bring the ""Whole"" Doctor To You"
LucidLink,https://angel.co/company/lucid-link,Cloud backed distributed file service for any object storage.
Greatist,https://angel.co/company/greatist,Next-gen brand for healthyish millennials
"Rant, Inc.",https://angel.co/company/rant-inc,"Internet Publishing, E-Commerce & Technology "
EyeNetra,https://angel.co/company/eyenetra,Smartphone-powered Refraction
