	urlDrugName	rating	effectiveness	sideEffects	condition	benefitsReview	sideEffectsReview	commentsReview
302	pataday	9	Highly Effective	No Side Effects	allergic reaction	taking the eye drops once a day relieved itching and redness.  there were no side effects.  the treatment stopped my eyes from itching and being red.  it did not seem to have any other side effects.  there is really nothing else to say about it.	there were no side effects	once a day, usually in the morning put 1-2 drops in each eye
504	paxil-cr	5	Moderately Effective	Severe Side Effects	anxiety/panic attacks	Controls the anxiety and fear of being without breathing.	"GAIN WEIGHT (60 pnds) fron 125 lbs to 180 lbs (5'4""). Lazyness, sugar and candy cravings, depression form gain weight, sleep a lot, no concordance, No sex, confussion, nightmares, moody, constinspation at the begginng, face breakouts, intolerance, short of breath, headeach..among others."	"Begginng dose: 25 mg for 1.5 yr.(may 08 to dec 09).

Dec 09: want 2 have bbs..so I talked 2 my Doc and I start with 12.5 this week (dec 7, 09). To end the process.

If I can turn back time..OMG..I used alternative treatments..no drugs.."
1014	estrace	7	Considerably Effective	Moderate Side Effects	surgical menopause	reduction in mood swings;night sweats;wt. gain	gallbladder disease;reflux	This medication was working well until it changed from round tablet to oblong tablet.  Now need to take higher dose for similar effect.  Has not worked as well since name brand was sold to different company and shape change.  I wonder if there are women having same problem.  Had surgical menopause for 19 years.
224	wellbutrin-xl	10	Highly Effective	No Side Effects	chronic depression	Significant improvement in mood, affect, energy, libido, and overall mental status. Significant reduction in anxiety, moodiness, and certain obsessive compulsive traits.	None	Patient suffering from severe depression prior to medication. Had taken Wellbutrin SR in the past with moderate side effects and moderate improvement in depression. Attending psychiatrist prescribed Wellbutrin XL at a higher dose in conjunction with Dexedrine for ADD. Marked improvement in depression and ADD symptoms. Patient still taking medication.
1805	oxycontin	3	Considerably Effective	Extremely Severe Side Effects	back pain	It provided me Pain releif that enabled me to get up in the morning and pain releif that helped with cramps and pain while sleeping at night. I think it only blocked the pain receptor in my brain but didn't actually provide a cure for the main problem. It was like a mask that may have caused more damagae in the end	I became severely addicted to the drug. With flu like symptoms when out of meds. I became dependant on the meds everyday to function and because it was working for enabling me to go about my day I didn't look for a proper treatment. In the end I wouldn't say that these pain medication do anything but mask the initial problem and my Dr considered the problem solved and didn't seek an alternate method of helping me long term	Take one pill 2 times a day
381	lamotrigine	10	Highly Effective	No Side Effects	ptsd	I have never felt so good in my life. This drug doesn't make you happy but it gives you a stable state to work from. I also read self-help books and have therapy along with the medicine but I wouldn't have been able to not have extreme highs and lows without Lamotrigine. It saved my relationships and my sanity. Thank God for this medicine.	Yeast infections occasionally.	"In therapy weekly and using ""Feeling Good"" and ""Break the Chain of Low Self-Esteem""."
3540	vivelle-dot	10	Highly Effective	No Side Effects	low estragen	I had more energy, better disposition and I slept better. This hormone therapy is great. I think most menopausal women should take it. It made me feel more like my old self.	I had absolutely no side effects.	I put on a new patch twice a week. I recommend Vivelle Dot to most women.
942	levaquin	1	Ineffective	Severe Side Effects	sinusitis	Although I took this drug about 3 to 4 days before I realized it was making me sicker, there were no treatment benefits during the time I was on it.  Actually , I started feel worse about day 3 or 4.  The drug seemed to be enhancing the sinusitus symptoms!	The treatment side effects of Levaquin were very similar to my sinusitis symptoms, hence the fact I stayed on the drug for several days.  Side effects included headache, dizziness, lightheadedness and nausea (nausea is not a symptom of sinusitus that I ever experienced before).  The side effects slowly got worse the longer I took the drug.	I asked for the drug in liquid form, as I have difficulty swallowing many pills.  I took the drug as recommended, but the symptoms did not get better.  As I mentioned earlier, the symptoms got worse.  I called my doctor's office on the third day and was told that the symptoms I was experiencing was the infection.  By day 5 I knew it was the drug, and stopped taking it.  After a couple of days the nausea went away, and eventually the sinusitus infection slowly got better.  I will never take Levaquin again!
623	finacea	8	Considerably Effective	No Side Effects	acne & rosacea	Finacea works well, is my everyday solution to acne and rosacea, but I still have occasional breakouts which are more quickly dried up by using Neutragena salicylic acid spot products.  Finacea has a creamier texture, so doesn't dry my skin as much as other products or irritate it, causing redness.  I still require a light moisurizer, in addition to it and the CeraVe moisturizing product that has been packaged with Finacea in a recent promotion works well with it.	None	I apply it over my entire face (except for eye areas)after washing and toning, but before moisturizing or applying wrinkle reduction cream.
3673	effexor-xr	8	Considerably Effective	Mild Side Effects	depression	I have been on Effexor XR for about 10 years. I am currently taking 300 mg per day. Before going on Effexor XR I was a crazy person...I tried to commit suicide several times. I still had anger issues and was given Lamictal and my anger has decreased immensely. I had been on so many different antidepressants I thought this was how my life was always going to be, my family slowly watching me sleep myself to death. Since my doctor put me on Effexor XR added Lamictal & Desyrel I feel better than ever. I also found out I'm allergic to wheat, dairy & eggs. Deleting these items from my diet along with the medications has made me a new person.	The only adverse effect I experienced was when I tried to play doctor and wean myself from the meds. It was like withdrawals from hard drugs; chills, nausea, etc. I took periodically myself off my meds because I didn't want to be dependant on medicaton. It was always the wrong thing to do.	My Dr gave me a sample pack (containing 7-37.5 mg capsules & 7-75mg capsules) as well as a  prescription for 75 mg. I was to take the 37.5 mg capsules then the 75 mg capsules. The dosage has been increased over time to 300mg.
1227	ultracet	9	Highly Effective	Mild Side Effects	chronic pain from disk hernia in cervical spine	enabled me to manage pain without being on narcotics. I did not experience a spacey out of touch feeling as I did when taking vicodin. It did make me a bit sleepy for the first couple of hours after dosing	mild sleepyness	on drug to control pain prior to surgical correction of a herniated cervical disk and for post op pain
3578	differin	7	Considerably Effective	Mild Side Effects	acne	I have had acne since the age of fifteen (15).  I tried several treatments, but the one that has shown improvement to my skin has been Differin.  With Differin, there has been a reduction of blemishes, my skin feels and looks smoother, and  the hyperpigmention of my skin has lightened significantly.	Side effects included dryness and irritation of the skin, which were both in part, very mild.	apply a thin layer every night to clean skin.
3450	tamiflu	5	Moderately Effective	Moderate Side Effects	the flu	I felt better in about 2 days. Maybe I would of felt better with out the drug. Not quite sure if it really helped.	The side effects were the drug made me not able to sleep at night. It gave me restless legs,and insomnia. It also took away my apitete.	The treatment was to take 1 tablet orally 2 times a day for 5 days.
689	accutane	10	Highly Effective	Moderate Side Effects	acne vulgaris	The problem, Acne Vulgaris, did disappear	Some days of severe depression, extremely dry skin	"In the first few weeks I couldn�t see any changes in my skin�s condition but dryness. Then, after ca. 6-8 weeks the skin became more and more clean and soft. The treatment lasted about 4 month and was highly effective. No Acne after stopping to take the Accutane.
The skin would remain drier than usual several years after the treatment had been finished and it would be clean.
I can recommend it to people who have severe Acne vulgaris."
70	flexeril	8	Considerably Effective	Moderate Side Effects	muscle spasm/neck and upper back pain	It allowed me to relax and sleep.  My neck and back pain subsided a little.  It made me forget most of my pain.	drowsy when i first woke up but once i got moving around it went away	The doctor had me take flexeril 3 times a day but i started out with 1 at bedtime for 2 1/2 weeks.  It took 2 weeks to work but after i started taking it 3 times a day at it worked faster.  It helps to stretch also while you take flexeril.
1785	citalopram	8	Highly Effective	Mild Side Effects	depression, anxiety	After about 2 weeks, felt much calmer and less depressed. Stressful situations or emotional distress were experienced less acutely and I was able to deal with them much better. Overall feeling of 'who cares' but not to a bad extent.  Also lost about 20 pounds which may be due to it acting as an appetite suppressant? Or maybe because it stopped my stress eating. Either way, nice side effect :)	Loss of weight- appetite suppression. Complete loss of sexual interest. Kind of a bummer but preferable to the depression. Also experienced an episode of intense confusion around the time it was supposed to be kicking in.	Works great... Very happy with it, as alprazolam seems to have no effect on me.
568	atenolol	9	Considerably Effective	Mild Side Effects	heart racing and fluttering	this drug works very well to control my heart from racing and fluttering. i have had a echo cardiogram and they say it is nothing serious but it really bothers me and makes me shaky and queasy. it was nice to get relief from this drug.	when i first took it it seemed to make me depressed but after a while that seemed to go away. other than that i have had no side effects.	the doctor prescribed the drug and i take 1/2 tablet a day which would be 25 mg.
2161	zyrtec	5	Highly Effective	Severe Side Effects	allergies	After moving to Okalahoma, allergies became a problem.  Different medicines prescribed and over the counter were tried.  At one point, I had to visit the doctor every six months two get a B12 shot and a steroid shot.  I was not pleased with the such frequent visits to the doctor's office but needed a treat for my new found allergies that were really affecting my work and family life.	A rash on my face occurred after two days and the medicine made very anxious. After moving to Okalahoma, allergies became a problem.  Different medicines prescribed and over the counter were tried.  At one point, I had to visit the doctor every six months two get a B12 shot and a steroid shot.  I was not pleased with the such frequent visits to the doctor's office but needed a treat for my new found allergies that were really affecting my work and family life. Both my 4 year old son and I tried Zyrtec.  We both had an allergic reaction in the form of a rash on our face.	Allergies are very common in Oklahoma because of the ragweed. Different medicines prescribed and over the counter were tried.  At one point, I had to visit the doctor every six months two get a B12 shot and a steroid shot.  I was not pleased with the such frequent visits to the doctor's office but needed a treat for my new found allergies that were really affecting my work and family life. I began taking 1 tsp onf Zyrtec once per day.  The drug proved to work.
85	methimazole	5	Highly Effective	Severe Side Effects	hyperthyroidism	"Stabilizes my thyroid function and brings it into a ""normal"" range.
Consequently my heart rate normalizes"	"Early in treatment Drs. would give me a specific dose to take for as long as 6 weeks. During this amount of time, on say..30-20 mgs per day, my thyroid would become so enlarged, I could barely swallow.. I now have a better handle on it.. and monitor my self with either breaking pills or smaller doses which I can control.
ALSO--I now have Osteopenia."	"First need to say Drs. waned me to have thyroid ablation. I opted to ""keep"" my thyroid and treat with mediycation, rather than ""killing it off"" chemically and becoming HYPO-Thyroid and treating with a replacement ""synthroid"" type meds.

Early in treatment Drs. would give me a certain dose to take for as much as 6 weeks-long after reaching ""normal"" (tsh etc..)thyroid levels, Now I monitor myself by how I feel and usually I'm not accurate, but most of the time I am.

ALSO I now have Osteopenia-exercise and calcium and Vit D are all very important!"
4094	chantix	2	Considerably Effective	Extremely Severe Side Effects	smoking cessation	"Reduced desire to smoke
Reduced cravings for cigarettes"	Suicidal thoughts (calm idea of jumping off 14th floor)	Treatment was immediately stopped after suicidal episode and this effect was reported to the drug administration by the pharamcist. I gave up smoking without the product.
3869	levoxyl	10	Highly Effective	No Side Effects	under active thyroid	"I had tons more energy, better sleep, my brittle hair and dry skin improved ,cold hands and feet were a thing of the past ,but the best part was the fact that my  
horse voice and persistent sore throat got better,also a feeling of well being which I didn't have before taking them , I felt I had control of my life again."	there were absolutly no side affects , I didn't have a dry mouth as I know some other medication can cause , no upset stomach , sickness ,or dizzyness.	1 pill every morning taken with water on an empty stomach, I didn't eat for about half hour after taking the medication , also I made sure I didn't drink it with grapefruit juice ,
2072	metformin	3	Marginally Effective	No Side Effects	diabetes	There was no perceptible benefit to the patient from his point of view; there was an apparent improvement as measured by the doctor.  The doctor advised continuation of the treatment.	There was no perceptible side effect experienced by the patient; this is possibly possibly due to the inattentive nature of the patients deep depression.  The patient also had extreme sleep apnea.	Started the treatment for 60 days at maximum recommended rate; the patient found no perceptible improvement he then trailed off to stop treatment over the following 60 days.
3680	effexor-xr	7	Considerably Effective	Severe Side Effects	depression	"Felt the ""cloud lift"" after 6 days or so.
Feel free from depression for the first time in 10 years.
But, glad to be rid of it."	"Horrible for me. Acquired secondary insomnia (for the entire duration), at one point, didn't sleep for 5 days.
Had a very intense feeling of delayed reactions/delayed feelings. ie. would go to turn the music up in the car and would turn the dial the wrong way. Took a few seconds to feel what I was actually touching, grabbing.
Killed my sex drive.
Withdrawl is EXTREME. Constant crying, very vivid and disturbing dreams, general listlessness."	Taken once a day (until up to 150 mg/day and then taken twice a day).  Always in the morning, as would help with insomnia.
117	valtrex	10	Highly Effective	No Side Effects	shingles	Prior to starting 1000 mg acyclovir QID, I was taking the standard 200 mg 5 times a day regimin.  I devloped the shingles in the 5th cranial nerve.  I had lesions following the entire nerve roots across my face, but had them internally as well.  There were lesions in the ear canal, the side of my tongue and down my throat.  I had taken a flu shot and had exposure to sun, as well as starting 2 new jobs about the same time as the first onset.  I developed 1 blister which I thought was herpes. I had not had a herpes outbreak in years. I started the acyclovir and noticed more and different complaints every day.  I first got a lesion on the entrance to the ear canal and more accompanying the first one on my lower chin.  Then my lower teeth began to become painful, as if I had a great toothache.  After about 4 days, I began to feel exhausted and unable to snap out of my fatigue.  The next day I awoke and had a sensation that my mouth was not fully moving.  Later the eye began to remain open and would not blink. The 3rd day of these symtoms, I devloped total paralysis of the left face. I saw 1 of my doctors immediately.  He gave me a cortisone shot and told me the dose of acyclovir to take.  He said it was bell's palsey. A friend called and said it was Ramsay-Hunt.  I was on bedrest from Mid October until 2 weeks ago.  I have very little stamina, and slowly I am getting more energy.  The latest addition to my medication arsenal was Alpha-lipoic acid.  I had statrted lysine and red marine algae.  I stopped coffe, soda, most meat and ate only what little I cooked or made myself.  I am pleased that most of my facial functions have returned, with the exception of the eye bliking completely, and a slight difference in my smile.  I take at least 1 dose of ibuprophen every day due to neuralgia or a sense of swelling in my left face.	I did not notice any.	acyclovir, rest.  PRN doses of ibuprophen. Tape eye shut and use of moisture drops.
2926	tramadol	5	Moderately Effective	Severe Side Effects	migranes	Very effective in my sleep pattern	Drowsiness which was not a major issue for me. phase of depression each time i stopped taking the pill. I didn't realize what was causing it until after the last couple of times. I mean a serious phase of depression which was new to me since i have never experienced depression before	I took the pill only when i had a migrane for a period of 3 months. I would be okay before and while i took the pill. The low mood, feelings of unworthiness and a heavy feeling in my head that i can't explain any better
3383	lipitor	10	Considerably Effective	No Side Effects	high blood cholesterol levels	My blood cholesterol decreased from 260 to 190-210 and my LDLs dropped  and now hover around 100 mg/dl; always had high HDL levels of 84-92.  Needed to keep my VLDLs low too.	No side effects	high cholesterol, 260, at menopause and 2 younger brothers with heart attacks in early 50s.  Both brothers had high blood VLDLs.  So took Lipitor to keep blood cholesterol levels down because of family history of high blood cholesterol on both maternal and paternal sides of family.
564	atenolol	7	Moderately Effective	No Side Effects	blood pressure	it did keep my blood pressure lower , and i did feel better.and i felt more at ease driving	"I felt a little tired at times,and some dizziness  i ended up taking it at night 
and that seem to help."	"if i took it in the mornings with a meal. sometimes ,not all time my blood pressure 
did not lower like it should,so i took it at night, with a bigger meal.that seem to help, because during the day i seem to have a problem but not as often."
3253	cleocin	6	Moderately Effective	Moderate Side Effects	acne	during 20's and 30's it appeared to create a protective skin barrier and keep acne at bay	"suspect that long-term over-use of this anti-biotic is part of the domino effect
that disrupted immune system which set stage for cancer diagnosis at age 40"	"used to put clindamycin lotion on face every morning after cleansing to create an antibiotic shield to protect skin from contamination that might aggravate acne ... that, plus the birth control pills taken during 20's and 30's likely
aggravated immune system and underlying candidiasis overpopulation which had been
life-long but not diagnosed until age 50 ... anyway, went through chemotherapy at age 40 ... thyroid pooped-out, which required commencement of lifelong thyroid hormone supplementation ... now realize how it is all connected - have gotten off
antibiotics altogether, gone organic in diet and products (toiletries, household
products) and feel good at ten-year-wellness anniversary since cancer diagnosis  :o)"
1753	topamax	8	Moderately Effective	Mild Side Effects	migraine	The number of migraines were reduced from 20+ a month to 12 or even less.  There have been some months when I have had only 5 or less migraines.  More importantly, the intensity of the migraines is considerably reduced.  On a pain scale of 1-10, I would have 12 or 15+ pain, that no amount of medication helped, and they would last for 3 to 5 days.  Now, when I do get a migraine, it's usually at a 2 or 3 pain level, and I rarely need to take more than 1 Relpax for relief.	One rather odd side effect, which others on the drug have commented upon, is that you forget words.  I've always been very articulate, and it can be frustrating to be in the middle of a conversation, or when I was doing training sessions, to suddenly go blank and be completely unable to remember a word I've used all my life.  Also, at one point I decided to go off the medication in the vain hope I could manage the migraines without drugs.  Even coming off the Topamax over a period of months, I gained 20 pounds.	I started on the usual dosage of 25mg in the morning and evening, then after 2 weeks increased it to 50mg twice a day.  Most people stay at this level, however, I seem to have a very high metablisim when it comes to medication, and anything I've taken for migraines always has to be increased beyond normal dosage in order to work.  Therefore, my neurologist increased the dosage to 200 mg a day, and after about a year when that no longer worked, we went to 300mg a day, which I know is high for used in migraine treatment. However, I've been on almost every migraine medication there is over the years, and there is nothing else that works.  I'm hoping for more breakthroughs in migraine research, before I end up at 400mg a day and forget half my vocabulary!
2813	wellbutrin	4	Moderately Effective	Moderate Side Effects	depression/anxiety	Decreased depression	felt funny and would get sort of dizzy	"I switched from Zoloft to Wellbutrin because it seemed like Zoloft was increasing my appetite a lot. I originally was treated with Zoloft for a severe episode of depression. After switching to Wellbutrin and taking it for a few months I continued to experience the original relief I had gotten from depression by taking Zoloft. It is possible however that I no longer needed anti-depressants. 
I stopped taking Wellbutrin b/c while taking it, a few times a day I would feel pretty strange physically for a few moments. I found this frightening so I didn't want to continue taking it."
2022	protonix	9	Considerably Effective	No Side Effects	reflux	Benefits of Protonix were a greatly reduced incidence of heartburn and spams in the esophagus.	None	I took the Protonix once a day approxiamtely 30 minutes before eating breakfast.
3863	levoxyl	9	Considerably Effective	No Side Effects	hypothyroidism	The drug reduced symptoms of tiredness and moodiness.   Hair loss was also seemed to improve.	none known	Pill taken 1/day for life.   Dosage must be monitored over time and may need to be adjusted.  May take several different dosages to be tried before optimal perscription is determined for your body.   Also, in filling the perscription specify non-generic.
3235	nuvaring	5	Highly Effective	Moderate Side Effects	pregnancy	I have not gotten pregnate while using, and I can usually not tell the ring is there.	I had a severe headache that lasted a week. Vaginal iching. Loss of sexual desire.	Insert one ring for three weeks, then take out for one week. I do know someone with a blood clot that could've lead to a stroke or heartattack while using.
1580	xanax	8	Considerably Effective	Mild Side Effects	anxiety	I was able to relax more than usual, and my mind did not feel like a race car circling a track at 150 miles per hour.  It became easier to focus on the task at hand without worrying about what was on my to-do list and, due to an eating disorder, how much I had eaten or was going to eat that day.	I found it slightly more difficult to drive while under the influence of the drug, and oftentimes I caught myself spacing out.  Sun exposure seemed to strengthen the drug's effect, and being in the sun made me lethargic and sometimes even dizzy.  Overall, I always felt as though I was on an irregular level of consciousness, and not in the same mental place as surrounding people not on the drug.	I was told to take one or 1/2 tablet approximately 30 minutes before undergoing an event that I predicted would inflict anxiety.  My stress was effectively reduced during family meals and going out to restaurants.  However, I took 1/2 tablet before receiving a vaccination shot and, although I did not pass out as usual, I still became lightheaded and dizzy as a result of the needle.  Perhaps a whole tablet would have eliminated these effects.  In the end, I couldn't get used to feeling like I was on drugs while trying to work, drive, etc. so I decided to not refill my prescription and began seeing my therapist more often instead.
3596	differin	9	Highly Effective	Mild Side Effects	uneven skin colour, anti-aging	My skin has become dramatically clearer and it has a fresh glow that I am very happy with.  My skin is smoother, finer, and the darker areas on my forehead (related to sun exposure) have faded almost completely.	Mild redness in the first three or four weeks, especially after exfoliating in the morning (which is my habit, not something recommended by my dermatologist though I have not asked).  It is a lot more urgent that I get moisturizer on after washing my face in the morning than it used to be before starting this treatment.  My face feels very tight and uncomfortable until I get the moisturizer on.	Before the treatment, I had noticed my skin was becoming dull and a bit leathery, and some wrinkles were setting in to my forehead. This is all substantially improved, and I'm so glad I shelled out for this cream.
2811	wellbutrin	9	Considerably Effective	Mild Side Effects	depression	My dosage is NOT the standard treatment of 300 mg daily, however at the 100 mg daily dose I get some benefits, including decreased irritability and appetite control, without side effects.	None.	I have been on this medication, at this dosage for a few years now, and it works great. No side effects at the 100 mg per day dose but I still get the benefits of help with mood swings and appetite control.
2078	metformin	10	Highly Effective	No Side Effects	diabetes	Totally under control	Byetta had slight nausea effects at first	I take Byetta imj twice a day before meals and metformin morning and night.  The Lipitor is taken at night and the synthroid in the am before meals.  My A1c is 5.2 and have kept off of insulin for 4 years.  Diet and exercise have also factored into the treatment.  I am totally under control.
1516	glucophage	8	Highly Effective	Moderate Side Effects	pcos/insulin resistance	I went to the doctor complain of never losing weight despite dieting and exercises, and after some medical evaluation , I was diagnosed with severe insulin resistance, polycysitc ovary syndrome , and hypothyroid ,all which contributed to weight problem  , my doctors plan was to take metformin at the maximum dose , 850 mg , 3 times and and to start a medication for my throid , within 3 months I had lost 20 pounds , normalized my periods and reversed my insulin resistance I was instructed to keep taking metformin  for the rest of my life	gastric side effects	I was instructed to tae the drug 3 times a day infintely
1668	climara	5	Moderately Effective	Severe Side Effects	perimenopause	I began taking Climara for perimenopause issues-- insomnia, horrible PMS, moodiness, night sweats. It helped for these issues.	The main side effects I experienced with Climara were bloating, weight gain and indigestion/gas. I gained 8 pounds in two months! As soon as I stopped the drug, the bloating and gas disappeared, and my weight gain is returning to normal.	Climara is meant to be used with a complementary progesterone subscription. I took  it in pill form. Now I am planning to try Amberen, a natural supplement which is supposed to balance the endocrine system. Got my fingers crossed!
1298	zocor	9	Highly Effective	No Side Effects	high cholerterol	lowered cholesterol by 13% with no side effects	there were no side effects from the dosage I take	One pill daily to reduce bad cholesterol with no side effects, I didn't really change my diet and the simvastatin reduced cholesterol by 13-15%. I get yearly blood test to see if it effected my liver and so far have had no problems.
2380	synthroid	8	Considerably Effective	Mild Side Effects	hypothyroidism	Clearer thinking; improved outlook and energy level.	I have had a persistent cough since taking this drug.	Taken first thing with glass of water and no food for 30 minutes. Doctor did not see the connection between cough and Synthroid,(chest Xray came back fine) however as it did bother my stomach briefly at time of dosing, I decided it might be affecting the stomach lining. Recently towards late afternoon or before retiring will take Tagamet or some generic stomach med. I DO NOT experience heartburn, however, this routine seems to reduce the embarrassing cough significantly. This was my own resolution after trying many allergy medicines once or twice which did not stop the cough at all. Was also given sample of Advair which I did not use due to negative side effects I read about on internet before using. I am seeking a more natural and effective solution to replace the Synthroid with something that will treat source of low thyroid as well as the symptoms.
1115	effexor	8	Considerably Effective	Moderate Side Effects	depression	stopped depression ie. repeatative negative thoughts, suicidal thougts, and general malaise.  relieved insomnia.	Bizarre dreams on nightly basis.  Possibly digestive problems.	I started on effexor after a serious suicide attempt following chronic sleep deprevation.  The trazadone was quickly added.  I effectively slept and within several weeks of taking both medications (taking the effexor and trazadone at bedtime) found my depression relieved.
4040	tri-luma	10	Highly Effective	Moderate Side Effects	melasma	excellent!!!! been using on and off for about 5 yrs now. I have learned how this works so theres no side effects such as really dry flaky skin. i use a little in the am then at night.I do this for about 2 wks. Meanwhile i DO NOT use any scrubs or rub my face , just gently, also NO masks or toners etc. Close to 2 wks, when in a hot shower gentle exfoliate, you will see dead skin coming off. dry your face and ts gonna look dry, flaky and terrible. use PURE COCOBUTTER on your face during the day, then only at night use the triluma, and repeat the exfoliate every few days, then the cocobutter etc, until you get results. My face looks amazing after using this process, but i do not have acne, so not sure how it would  work with the cocobutter, might make the acne worse.  good luck!	dry skin	explained above
1776	citalopram	6	Marginally Effective	Moderate Side Effects	depression/anxiety	I did not notice any benefit myself, although my wife felt I was less 'Snappy'. Hoping to get more benefits now I have moved up to a higher dose.	Waking up in the night and not being able to sleep. Shaking. Nervousness. Agitation. Sweating. Increased sex drive. Upset stomach/ flatulance. Tiredness. Dejavous.	"I am writing this having just been back to the GP's as I did not think it was working as well as it could do according to other reports. He raised me up to 40mg from an initial dose of 20mg. 
As you can see I have listed a lot of side effects, although to be honest these were not a problem and mostly gone by 10days of treatment. That is until I got raised to 40mg and now they are back with a vengeance. 
However, if it helps with the depression it will be worth it. I have my tablet with food as otherwise I get a dodgy stomach, but for some people they may need to take it without food for the same reason. Again, if it makes you tired, take on an evening, if it keeps you awake then take on the morning."
2217	benicar-hct	8	Moderately Effective	Moderate Side Effects	high blood pressure	The benefits were that it did help lower my blood pressure.	With the HCT added to the Benicar, I was constantly going to the bathroom.  My potassium got so low on this medication that I am currently taking 3 potassium pills daily.	Benicar/HCT was taken once a day due to my blood pressure being high.  It did help control my blood pressure, if I ever forgot to take it I could feel the results - headache, etc.  When I first began taking it I felt really tired all the time but eventually got used to it.  I started losing weight (not because of the medication, I was actually trying to lose weight) and my potassium got so low that my physician took me off of the HCT part and started me just on the Benicar 40 mg daily.  I am still taking potassium pills until my labs show that my potassium is okay.
311	protopic	4	Highly Effective	Extremely Severe Side Effects	eczema	Got rid of eczema quickly when applied in a thin layer. I have used this for years without realizing its side effects or being told about the side effects from my doctors or pharmacist.	This drug has severe side effects, and I was not told about ANY of them! I believe I have gotten shingles as a side effect from this drug. Shingles tends to happen to the elderly or people with weakened immune systems. My immune system was weakened by this drug enough to get shingles!  Do your research before continuing to choose to use this product.	"Applied whenever I had a flare-up with a thin layer of the Protopic ointment. 
Please educate yourself and try many other alternatives before even considering using this product. I have used it for many years and regret it after learning about all the harmful side effects."
1835	yasmin	3	Marginally Effective	Extremely Severe Side Effects	birth control	Less acne, more controlled cycle	headaches, dizzy spells, extreme breast tenderness (like someone is crushing them), anxiety, slight depression, very bad cramps, very large clots, mood swings, heart palpitations	Got on Yasmin to weaken my flow, my acne from the previous pill went away (ortho tri clyclen-lo), everything seemed great. I was slightly discouraged about my weight gain, a few pounds here and there, but 2 years later I am 40lbs heavier than I was when I started this pill. I do not solely blame the pill for this but I can imagine it has aided me in packing on the pounds. I exercise regularly and try to watch what I put in my mouth. I have random weird mood-swings that only seem to be getting worse. I stopped taking this pill the other day because I couldnt stand always being tired, fatigued, moody, and the headaches were unbearable. I have had a few since that day but hopefully everything will start to get better. I am looking for alternative pills because most of them make my acne really bad, and I have never had acne as a teenager. My mothers friends daughter was only on this pill 3 months and had liver problems. My health isnt worth it. I would rather bleed for 8-9 days than possibly die. Be careful ladies.
2546	zetia	9	Considerably Effective	No Side Effects	high cholestrol	My target was to have the a cholestrol reduction from 240 to under 200. I did not want want to take statins because I am not comfortable with drugs that inhibit normal metabolic processes. Evolution is parsimonius, and inhibition of any enzyme is likely to be reflected as an adverse effect in a seemingly unrelated area. Also, I did not want to take red yeast rice, which basically is a non-phrmaceutical grade of a statin. I liked the physical mode of action of Zetia. Within 6 months of starting treatment, my total cholesterol was down from to 200 and my HDL went up from 45 to 58.	I did not experience any perceptible side effects.	See treatment benefits above. I take my daily dose of Zetia shortly after having my breakfast.
3508	atacand	9	Considerably Effective	No Side Effects	high blood pressure	The Atacand worked well for me IF taken consistently without skipping days.  I was able to bring my blood pressure to at least 120/80 and at times a bit lower.  Note that consistency of medication is a key.  Should the 8mg tablet taken once per day not prove as effective as desired, my physician advised that I could take an additional tablet or two per day without problem.	Did not notice any undesirable side effects.  The only thing that could be mentioned is that if one embarks on a significant exercise routine such as elleptical stairstep machine for 30+ minutes/day and keeps up the exercise for weeks on end while at the same time taking the Atacand, one may end up with a [not undesirable] blood pressure in the 112/65 range.	The Atacand worked well IF taken routinely without skipping days.  It takes a while for the regulation to start, ie, you can't begin from scratch taking the Atacand the first morning and expect proper blood pressure regulation that afternoon.  Doesn't work that quickly.  There is a tendency, after taking the medication consistently and seeing your pressure get well under control, to think that maybe you can stop or at least taper off of the Atacand.  One may try this but will find that the best regimen is consistency.  It did work well for me and keeps me under 120/80.
986	antivert	10	Highly Effective	Moderate Side Effects	labyrinthitis	Decreased the vertigo almost immediately; no further vomiting; I was able to walk and move my head without the awful spinning.	Sedation--I almost the entire time I took the medication...I'm not sure I could have taken this and gone to work.	My doctor said the Labyrinthitis is usually preceded by a cold and fluid collects in the inner portion of the ear and causes the dizziness/vomiting.  The treatment was symptom relief (using the Meclizine) and the fluid gradually absorbs.
2796	wellbutrin	10	Considerably Effective	No Side Effects	depression	more motivation,stopped crying in the morning,improved feelings of wellbeing,I could enjoy music and started singing spontaniously at times,something Ihad'nt done in years	dry mouth at first week then no side effects ,even when I went up to a dose of 500mg a day under the care of a psychatrist	ruled out zoloft as it gave me diareahea when Itook it several years ago for panic attacks .The zoloft did stop the panic attacks,however. So Istarted on paxal for 3 months .felt somewhat better but slowed down or groggy.I decided the side effects were counter productive to what I needed in an antidepressant. Iasked to try wellbutrin. And felt the above mentioned benefits. I stared on the extended release then switched to generic and 2x a day dosing as the generic was much cheaper.I felt no difference between name brand and generic. Ihad no weight loss side effect.
4046	amoxil	8	Considerably Effective	No Side Effects	infection (in ear)	the treatment cleared up the infection, mostly.  It cleared up the infection but I still felt that it was there for a while.  It did get rid of the pain in my ears from the infection really quickly, and the 'blocked up' feeling I had in my ear.	There were no side effects.	The infection was mostly cleared up.  For a few weeks I felt as though I still had a bit of an infection or it was coming back.  But after a while that went away.
2244	zovirax	10	Highly Effective	No Side Effects	herpes	outbreaks were reduced from one every few months to one every few years	none that I am aware of	just swallow one capsule three times per day
